date,cash,stock_value,end_equity,daily_return_pct,exposure_pct,drawdown_pct,held_symbols
2025-09-23,851098.55,142346.3,993444.85,-0.0597,14.33,-1.4615,600519
2025-09-24,851098.55,141804.3,992902.85,-0.0546,14.28,-1.5152,600519
2025-09-25,851098.55,141504.3,992602.85,-0.0302,14.26,-1.545,600519
2025-09-26,851098.55,141104.3,992202.85,-0.0403,14.22,-1.5846,600519
2025-09-29,851098.55,143690.3,994788.85,0.2606,14.44,-1.3281,600519
2025-09-30,851098.55,142003.3,993101.85,-0.1696,14.3,-1.4955,600519
2025-10-09,851098.55,141282.3,992380.85,-0.0726,14.24,-1.567,600519
2025-10-10,851098.55,140604.3,991702.85,-0.0683,14.18,-1.6342,600519
2025-10-13,851098.55,139524.3,990622.85,-0.1089,14.08,-1.7414,600519
2025-10-14,851098.55,142706.3,993804.85,0.3212,14.36,-1.4257,600519
2025-10-15,851098.55,143804.3,994902.85,0.1105,14.45,-1.3168,600519
2025-10-16,994707.97,0.0,994707.97,-0.0196,0.0,-1.3362,
2025-10-17,994707.97,0.0,994707.97,0.0,0.0,-1.3362,
2025-10-20,994707.97,0.0,994707.97,0.0,0.0,-1.3362,
2025-10-21,851088.85,143830.3,994919.15,0.0212,14.46,-1.3152,600519
2025-10-22,851088.85,143474.3,994563.15,-0.0358,14.43,-1.3505,600519
2025-10-23,851088.85,144402.3,995491.15,0.0933,14.51,-1.2585,600519
2025-10-24,851088.85,142604.3,993693.15,-0.1806,14.35,-1.4368,600519
2025-10-27,851088.85,141645.3,992734.15,-0.0965,14.27,-1.5319,600519
2025-10-28,851088.85,142104.3,993193.15,0.0462,14.31,-1.4864,600519
2025-10-29,851088.85,140794.3,991883.15,-0.1319,14.19,-1.6164,600519
2025-10-30,851088.85,140278.3,991367.15,-0.052,14.15,-1.6675,600519
2025-10-31,851088.85,140605.3,991694.15,0.033,14.18,-1.6351,600519
2025-11-03,851088.85,141104.3,992193.15,0.0503,14.22,-1.5856,600519
2025-11-04,851088.85,140504.3,991593.15,-0.0605,14.17,-1.6451,600519
2025-11-05,851088.85,139612.3,990701.15,-0.09,14.09,-1.7336,600519
2025-11-06,851088.85,141117.3,992206.15,0.1519,14.22,-1.5843,600519
2025-11-07,992020.75,0.0,992020.75,-0.0187,0.0,-1.6027,
2025-11-10,992020.75,0.0,992020.75,0.0,0.0,-1.6027,
2025-11-11,992020.75,0.0,992020.75,0.0,0.0,-1.6027,
2025-11-12,992020.75,0.0,992020.75,0.0,0.0,-1.6027,
2025-11-13,992020.75,0.0,992020.75,0.0,0.0,-1.6027,
2025-11-14,992020.75,0.0,992020.75,0.0,0.0,-1.6027,
2025-11-17,992020.75,0.0,992020.75,0.0,0.0,-1.6027,
2025-11-18,992020.75,0.0,992020.75,0.0,0.0,-1.6027,
2025-11-19,846900.43,144705.3,991605.73,-0.0418,14.59,-1.6439,600519
2025-11-20,846900.43,144315.3,991215.73,-0.0393,14.56,-1.6826,600519
2025-11-21,846900.43,144264.3,991164.73,-0.0051,14.56,-1.6876,600519
2025-11-24,846900.43,142804.3,989704.73,-0.1473,14.43,-1.8324,600519
2025-11-25,846900.43,142069.3,988969.73,-0.0743,14.37,-1.9053,600519
2025-11-26,846900.43,142519.3,989419.73,0.0455,14.4,-1.8607,600519
2025-11-27,846900.43,142334.3,989234.73,-0.0187,14.39,-1.8791,600519
2025-11-28,846900.43,142654.3,989554.73,0.0323,14.42,-1.8473,600519
2025-12-01,846900.43,142404.3,989304.73,-0.0253,14.39,-1.8721,600519
2025-12-02,846900.43,141207.3,988107.73,-0.121,14.29,-1.9908,600519
2025-12-03,846900.43,140514.3,987414.73,-0.0701,14.23,-2.0596,600519
2025-12-04,846900.43,140002.3,986902.73,-0.0519,14.19,-2.1104,600519
2025-12-05,846900.43,140605.3,987505.73,0.0611,14.24,-2.0506,600519
2025-12-08,846900.43,139426.3,986326.73,-0.1194,14.14,-2.1675,600519
2025-12-09,846900.43,137705.3,984605.73,-0.1745,13.99,-2.3382,600519
2025-12-10,846900.43,137884.3,984784.73,0.0182,14.0,-2.3204,600519
2025-12-11,846900.43,138803.3,985703.73,0.0933,14.08,-2.2293,600519
2025-12-12,986123.56,0.0,986123.56,0.0426,0.0,-2.1876,
2025-12-15,986123.56,0.0,986123.56,-0.0,0.0,-2.1876,
2025-12-16,986123.56,0.0,986123.56,-0.0,0.0,-2.1876,
2025-12-17,986123.56,0.0,986123.56,-0.0,0.0,-2.1876,
2025-12-18,986123.56,0.0,986123.56,-0.0,0.0,-2.1876,
2025-12-19,986123.56,0.0,986123.56,-0.0,0.0,-2.1876,
2025-12-22,986123.56,0.0,986123.56,-0.0,0.0,-2.1876,
2025-12-23,986123.56,0.0,986123.56,-0.0,0.0,-2.1876,
2025-12-24,986123.56,0.0,986123.56,-0.0,0.0,-2.1876,
2025-12-25,845511.14,141417.0,986928.14,0.0816,14.33,-2.1078,600519
2025-12-26,845511.14,141413.0,986924.14,-0.0004,14.33,-2.1082,600519
2025-12-29,845511.14,140200.0,985711.14,-0.1229,14.22,-2.2286,600519
2025-12-30,845511.14,138972.0,984483.14,-0.1246,14.12,-2.3504,600519
2025-12-31,845511.14,137718.0,983229.14,-0.1274,14.01,-2.4747,600519
2026-01-05,845511.14,142600.0,988111.14,0.4965,14.43,-1.9905,600519
2026-01-06,845511.14,142801.0,988312.14,0.0203,14.45,-1.9706,600519
2026-01-07,845511.14,142336.0,987847.14,-0.0471,14.41,-2.0167,600519
2026-01-08,845511.14,141230.0,986741.14,-0.112,14.31,-2.1264,600519
2026-01-09,845511.14,141910.0,987421.14,0.0689,14.37,-2.0589,600519
2026-01-12,845511.14,142323.0,987834.14,0.0418,14.41,-2.018,600519
2026-01-13,845511.14,141100.0,986611.14,-0.1238,14.3,-2.1393,600519
2026-01-14,845511.14,139801.0,985312.14,-0.1317,14.19,-2.2681,600519
2026-01-15,845511.14,138889.0,984400.14,-0.0926,14.11,-2.3586,600519
2026-01-16,845511.14,138200.0,983711.14,-0.07,14.05,-2.4269,600519
2026-01-19,845511.14,137600.0,983111.14,-0.061,14.0,-2.4864,600519
2026-01-20,845511.14,137355.0,982866.14,-0.0249,13.97,-2.5107,600519
2026-01-21,845511.14,135106.0,980617.14,-0.2288,13.78,-2.7338,600519
2026-01-22,845511.14,134006.0,979517.14,-0.1122,13.68,-2.8429,600519
2026-01-23,845511.14,133700.0,979211.14,-0.0312,13.65,-2.8733,600519
2026-01-26,845511.14,134200.0,979711.14,0.0511,13.7,-2.8237,600519
2026-01-27,845511.14,134301.0,979812.14,0.0103,13.71,-2.8137,600519
2026-01-28,845511.14,132369.0,977880.14,-0.1972,13.54,-3.0053,600519
2026-01-29,845511.14,143772.0,989283.14,1.1661,14.53,-1.8743,600519
2026-01-30,845511.14,140100.0,985611.14,-0.3712,14.21,-2.2385,600519
2026-02-02,845511.14,142700.0,988211.14,0.2638,14.44,-1.9806,600519
2026-02-03,845511.14,147492.0,993003.14,0.4849,14.85,-1.5053,600519
2026-02-04,845511.14,152500.0,998011.14,0.5043,15.28,-1.0085,600519
2026-02-05,997313.6,0.0,997313.6,-0.0699,0.0,-1.0777,
2026-02-06,997313.6,0.0,997313.6,-0.0,0.0,-1.0777,
2026-02-09,997313.6,0.0,997313.6,-0.0,0.0,-1.0777,
2026-02-10,997313.6,0.0,997313.6,-0.0,0.0,-1.0777,
2026-02-11,997313.6,0.0,997313.6,-0.0,0.0,-1.0777,
2026-02-12,847173.56,148660.0,995833.56,-0.1484,14.93,-1.2245,600519
2026-02-13,847173.56,148530.0,995703.56,-0.0131,14.92,-1.2374,600519
2026-02-24,847173.56,146680.0,993853.56,-0.1858,14.76,-1.4209,600519
2026-02-25,847173.56,149166.0,996339.56,0.2501,14.97,-1.1743,600519
2026-02-26,847173.56,146621.0,993794.56,-0.2554,14.75,-1.4268,600519
2026-02-27,847173.56,145502.0,992675.56,-0.1126,14.66,-1.5378,600519
2026-03-02,847173.56,144011.0,991184.56,-0.1502,14.53,-1.6857,600519
2026-03-03,847173.56,142619.0,989792.56,-0.1404,14.41,-1.8237,600519
2026-03-04,847173.56,140118.0,987291.56,-0.2527,14.19,-2.0718,600519
2026-03-05,847173.56,139904.0,987077.56,-0.0217,14.17,-2.093,600519
2026-03-06,847173.56,140200.0,987373.56,0.03,14.2,-2.0637,600519
2026-03-09,847173.56,139700.0,986873.56,-0.0506,14.16,-2.1133,600519
2026-03-10,847173.56,140188.0,987361.56,0.0494,14.2,-2.0648,600519
2026-03-11,847173.56,140000.0,987173.56,-0.019,14.18,-2.0835,600519
2026-03-12,847173.56,139200.0,986373.56,-0.081,14.11,-2.1628,600519
2026-03-13,847173.56,141364.0,988537.56,0.2194,14.3,-1.9482,600519
2026-03-16,847173.56,146018.0,993191.56,0.4708,14.7,-1.4866,600519
2026-03-17,847173.56,148500.0,995673.56,0.2499,14.91,-1.2404,600519
2026-03-18,847173.56,146880.0,994053.56,-0.1627,14.78,-1.4011,600519
2026-03-19,847173.56,145287.0,992460.56,-0.1603,14.64,-1.5591,600519
2026-03-20,847173.56,144500.0,991673.56,-0.0793,14.57,-1.6371,600519
2026-03-23,847173.56,140807.0,987980.56,-0.3724,14.25,-2.0035,600519
2026-03-24,847173.56,140733.0,987906.56,-0.0075,14.25,-2.0108,600519
2026-03-25,847173.56,141027.0,988200.56,0.0298,14.27,-1.9816,600519
2026-03-26,847173.56,140118.0,987291.56,-0.092,14.19,-2.0718,600519
2026-03-27,847173.56,141602.0,988775.56,0.1503,14.32,-1.9246,600519
2026-03-30,847173.56,142000.0,989173.56,0.0403,14.36,-1.8851,600519
2026-03-31,847173.56,145000.0,992173.56,0.3033,14.61,-1.5876,600519
2026-04-01,847173.56,145944.0,993117.56,0.0951,14.7,-1.4939,600519
2026-04-02,847173.56,145988.0,993161.56,0.0044,14.7,-1.4896,600519
2026-04-03,847173.56,146000.0,993173.56,0.0012,14.7,-1.4884,600519
2026-04-07,847173.56,144002.0,991175.56,-0.2012,14.53,-1.6865,600519
2026-04-08,847173.56,146502.0,993675.56,0.2522,14.74,-1.4386,600519
2026-04-09,847173.56,146049.0,993222.56,-0.0456,14.7,-1.4835,600519
2026-04-10,847173.56,145396.0,992569.56,-0.0657,14.65,-1.5483,600519
2026-04-13,847173.56,144331.0,991504.56,-0.1073,14.56,-1.6539,600519
2026-04-14,847173.56,144690.0,991863.56,0.0362,14.59,-1.6183,600519
2026-04-15,847173.56,146750.0,993923.56,0.2077,14.76,-1.414,600519
2026-04-16,847173.56,146284.0,993457.56,-0.0469,14.72,-1.4602,600519
2026-04-17,847173.56,140724.0,987897.56,-0.5597,14.24,-2.0117,600519
2026-04-20,847173.56,141089.0,988262.56,0.0369,14.28,-1.9755,600519
2026-04-21,847173.56,141201.0,988374.56,0.0113,14.29,-1.9644,600519
2026-04-22,847173.56,140950.0,988123.56,-0.0254,14.26,-1.9893,600519
2026-04-23,847173.56,141900.0,989073.56,0.0961,14.35,-1.895,600519
2026-04-24,847173.56,145849.0,993022.56,0.3993,14.69,-1.5033,600519
2026-04-27,847173.56,140320.0,987493.56,-0.5568,14.21,-2.0518,600519
2026-04-28,847173.56,140500.0,987673.56,0.0182,14.23,-2.0339,600519
2026-04-29,847173.56,140117.0,987290.56,-0.0388,14.19,-2.0719,600519
2026-04-30,847173.56,138479.0,985652.56,-0.1659,14.05,-2.2344,600519
2026-05-06,847173.56,137500.0,984673.56,-0.0993,13.96,-2.3315,600519
2026-05-07,847173.56,137105.0,984278.56,-0.0401,13.93,-2.3706,600519
2026-05-08,847173.56,137299.0,984472.56,0.0197,13.95,-2.3514,600519
2026-05-11,847173.56,136133.0,983306.56,-0.1184,13.84,-2.4671,600519
2026-05-12,847173.56,135455.0,982628.56,-0.069,13.78,-2.5343,600519
2026-05-13,847173.56,134409.0,981582.56,-0.1064,13.69,-2.6381,600519
2026-05-14,847173.56,134217.0,981390.56,-0.0196,13.68,-2.6571,600519
2026-05-15,847173.56,133295.0,980468.56,-0.0939,13.6,-2.7486,600519
2026-05-18,847173.56,132300.0,979473.56,-0.1015,13.51,-2.8473,600519
2026-05-19,847173.56,132430.0,979603.56,0.0133,13.52,-2.8344,600519
2026-05-20,847173.56,131500.0,978673.56,-0.0949,13.44,-2.9266,600519
2026-05-21,847173.56,131100.0,978273.56,-0.0409,13.4,-2.9663,600519
2026-05-22,847173.56,129020.0,976193.56,-0.2126,13.22,-3.1726,600519
2026-05-25,847173.56,128588.0,975761.56,-0.0443,13.18,-3.2154,600519
2026-05-26,847173.56,127338.0,974511.56,-0.1281,13.07,-3.3394,600519
2026-05-27,847173.56,130300.0,977473.56,0.3039,13.33,-3.0456,600519
2026-05-28,976005.91,0.0,976005.91,-0.1501,0.0,-3.1912,
2026-05-29,976005.91,0.0,976005.91,0.0,0.0,-3.1912,
2026-06-01,976005.91,0.0,976005.91,0.0,0.0,-3.1912,
2026-06-02,976005.91,0.0,976005.91,0.0,0.0,-3.1912,
2026-06-03,976005.91,0.0,976005.91,0.0,0.0,-3.1912,
2026-06-04,976005.91,0.0,976005.91,0.0,0.0,-3.1912,
2026-06-05,976005.91,0.0,976005.91,0.0,0.0,-3.1912,
