date,cash,stock_value,end_equity,daily_return_pct,exposure_pct,drawdown_pct,held_symbols
2025-06-05,275975.68,744026.2,1020001.88,0.3343,72.94,-2.3696,"300750,600036,600519,600941"
2025-06-06,275975.68,742831.0,1018806.68,-0.1172,72.91,-2.484,"300750,600036,600519,600941"
2025-06-09,280125.18,730519.3,1010644.48,-0.8012,72.28,-3.2653,"300750,600036,600519,600941"
2025-06-10,280125.18,725975.3,1006100.48,-0.4496,72.16,-3.7002,"300750,600036,600519,600941"
2025-06-11,280125.18,735524.3,1015649.48,0.9491,72.42,-2.7862,"300750,600036,600519,600941"
2025-06-12,277483.04,732577.0,1010060.04,-0.5503,72.53,-3.3212,"002230,600036,600519,600941"
2025-06-13,277483.04,729845.0,1007328.04,-0.2705,72.45,-3.5827,"002230,600036,600519,600941"
2025-06-16,277483.04,733879.0,1011362.04,0.4005,72.56,-3.1966,"002230,600036,600519,600941"
2025-06-17,277483.04,733868.0,1011351.04,-0.0011,72.56,-3.1977,"002230,600036,600519,600941"
2025-06-18,277483.04,733057.0,1010540.04,-0.0802,72.54,-3.2753,"002230,600036,600519,600941"
2025-06-19,250201.52,756094.6,1006296.12,-0.42,75.14,-3.6815,"002230,600036,600519,600941,688981"
2025-06-20,245514.14,759813.6,1005327.74,-0.0962,75.58,-3.7742,"002230,600036,600519,600941,688981"
2025-06-23,240946.81,768530.6,1009477.41,0.4128,76.13,-3.377,"002230,600036,600519,600941,688981"
2025-06-24,240946.81,776582.6,1017529.41,0.7976,76.32,-2.6063,"002230,600036,600519,600941,688981"
2025-06-25,420966.19,603248.0,1024214.19,0.657,58.9,-1.9665,"002230,600036,600941"
2025-06-26,624862.81,401843.0,1026705.81,0.2433,39.14,-1.728,"600036,600941"
2025-06-27,629336.99,387870.3,1017207.29,-0.9251,38.13,-2.6371,"600036,600941"
2025-06-30,620704.19,395926.7,1016630.89,-0.0567,38.94,-2.6923,"600036,600941"
2025-07-01,620704.19,398294.7,1018998.89,0.2329,39.09,-2.4656,"600036,600941"
2025-07-02,625063.48,394815.0,1019878.48,0.0863,38.71,-2.3815,"600036,600941"
2025-07-03,220491.0,804986.2,1025477.2,0.549,78.5,-1.8456,"300750,600036,600941,688981"
2025-07-04,241801.6,788585.7,1030387.3,0.4788,76.53,-1.3756,"300750,600036,600941,688981"
2025-07-07,237619.48,789818.0,1027437.48,-0.2863,76.87,-1.6579,"300750,600036,600941,688981"
2025-07-08,212319.8,821457.2,1033777.0,0.617,79.46,-1.0511,"300750,600036,600941,688981"
2025-07-09,249990.95,786799.4,1036790.35,0.2915,75.89,-0.7627,"300750,600036,600519,600941,688981"
2025-07-10,249990.95,790366.4,1040357.35,0.344,75.97,-0.4213,"300750,600036,600519,600941,688981"
2025-07-11,254508.08,788704.7,1043212.78,0.2745,75.6,-0.148,"300750,600036,600519,600941,688981"
2025-07-14,258853.19,781430.4,1040283.59,-0.2808,75.12,-0.4284,"300750,600036,600519,600941,688981"
2025-07-15,250128.74,786740.4,1036869.14,-0.3282,75.88,-0.7552,"300750,600036,600519,600941,688981"
2025-07-16,258887.89,774946.4,1033834.29,-0.2927,74.96,-1.0457,"300750,600036,600519,600941,688981"
2025-07-17,250172.45,785831.4,1036003.85,0.2099,75.85,-0.838,"300750,600036,600519,600941,688981"
2025-07-18,259033.48,782013.4,1041046.88,0.4868,75.12,-0.3553,"300750,600036,600519,600941,688981"
2025-07-21,259033.48,787237.4,1046270.88,0.5018,75.24,0.0,"300750,600036,600519,600941,688981"
2025-07-22,363661.45,685968.5,1049629.95,0.3211,65.35,0.0,"002230,300750,600036,600941,688981"
2025-07-23,256249.4,795028.6,1051278.0,0.157,75.62,0.0,"002230,300750,600036,600941,688981"
2025-07-24,256249.4,798809.6,1055059.0,0.3597,75.71,0.0,"002230,300750,600036,600941,688981"
2025-07-25,233375.8,828695.8,1062071.6,0.6647,78.03,0.0,"002230,300750,600036,600941,688981"
2025-07-28,366342.04,690523.2,1056865.24,-0.4902,65.34,-0.4902,"002230,300750,600036,600941,688981"
2025-07-29,366342.04,691290.2,1057632.24,0.0726,65.36,-0.418,"002230,300750,600036,600941,688981"
2025-07-30,394734.01,653911.0,1048645.01,-0.8498,62.36,-1.2642,"002230,300750,600036,600941,688981"
2025-07-31,367422.7,673297.2,1040719.9,-0.7557,64.7,-2.0104,"002230,300750,600036,600941,688981"
2025-08-01,371762.01,665102.5,1036864.51,-0.3705,64.15,-2.3734,"002230,300750,600036,600941,688981"
2025-08-04,229508.96,816343.4,1045852.36,0.8668,78.06,-1.5271,"002230,300750,600036,600941,688981"
2025-08-05,229508.96,818225.4,1047734.36,0.1799,78.09,-1.3499,"002230,300750,600036,600941,688981"
2025-08-06,220292.7,827738.5,1048031.2,0.0283,78.98,-1.322,"002230,300750,600036,688981"
2025-08-07,220292.7,825210.5,1045503.2,-0.2412,78.93,-1.56,"002230,300750,600036,688981"
2025-08-08,220292.7,810829.5,1031122.2,-1.3755,78.64,-2.9141,"002230,300750,600036,688981"
2025-08-11,220292.7,813170.5,1033463.2,0.227,78.68,-2.6936,"002230,300750,600036,688981"
2025-08-12,220292.7,814532.5,1034825.2,0.1318,78.71,-2.5654,"002230,300750,600036,688981"
2025-08-13,215972.8,826023.2,1041996.0,0.6929,79.27,-1.8902,"002230,300750,600036,688981"
2025-08-14,243534.47,801573.1,1045107.57,0.2986,76.7,-1.5973,"002230,300750,600036,600941"
2025-08-15,421591.93,621230.6,1042822.53,-0.2186,59.57,-1.8124,"002230,600036,600941"
2025-08-18,281868.15,764863.6,1046731.75,0.3749,73.07,-1.4443,"002230,600036,600519,600941"
2025-08-19,281868.15,762306.6,1044174.75,-0.2443,73.01,-1.6851,"002230,600036,600519,600941"
2025-08-20,281868.15,768617.6,1050485.75,0.6044,73.17,-1.0909,"002230,600036,600519,600941"
2025-08-21,286925.03,768118.6,1055043.63,0.4339,72.8,-0.6617,"002230,600036,600519,600941"
2025-08-22,286925.03,774783.6,1061708.63,0.6317,72.98,-0.0342,"002230,600036,600519,600941"
2025-08-25,708764.75,355437.3,1064202.05,0.2349,33.4,0.0,"002230,600519"
2025-08-26,708764.75,353965.3,1062730.05,-0.1383,33.31,-0.1383,"002230,600519"
2025-08-27,509588.71,550876.3,1060465.01,-0.2131,51.95,-0.3512,"002230,600519,688981"
2025-08-28,315817.61,784807.1,1100624.71,3.787,71.31,0.0,"002230,300750,600519,688981"
2025-08-29,275806.68,835702.3,1111508.98,0.9889,75.19,0.0,"002230,300750,600519,600941,688981"
2025-09-09,281729.54,813435.7,1095165.24,-1.4704,74.28,-1.4704,"002230,300750,600519,600941,688981"
2025-09-10,286971.57,811236.7,1098208.27,0.2779,73.87,-1.1966,"002230,300750,600519,600941,688981"
2025-09-11,276699.33,840076.7,1116776.03,1.6907,75.22,0.0,"002230,300750,600519,600941,688981"
2025-09-12,287611.3,825599.7,1113211.0,-0.3192,74.16,-0.3192,"002230,300750,600519,600941,688981"
2025-09-15,330861.61,796007.6,1126869.21,1.2269,70.64,0.0,"300750,600519,600941,688981"
2025-09-16,330861.61,795148.6,1126010.21,-0.0762,70.62,-0.0762,"300750,600519,600941,688981"
2025-09-17,330861.61,823332.6,1154194.21,2.503,71.33,0.0,"300750,600519,600941,688981"
2025-09-18,552704.76,602511.1,1155215.86,0.0885,52.16,0.0,"600519,600941,688981"
2025-09-19,564987.34,589939.1,1154926.44,-0.0251,51.08,-0.0251,"600519,600941,688981"
2025-09-22,323761.69,842761.1,1166522.79,1.0041,72.25,0.0,"002230,600519,600941,688981"
2025-09-23,336507.8,824491.1,1160998.9,-0.4735,71.02,-0.4735,"002230,600519,600941,688981"
2025-09-24,326247.57,861995.1,1188242.67,2.3466,72.54,0.0,"002230,600519,600941,688981"
2025-09-25,579372.7,611022.3,1190395.0,0.1811,51.33,0.0,"002230,600519,688981"
2025-09-26,584942.06,593603.3,1178545.36,-0.9954,50.37,-0.9954,"002230,600519,688981"
2025-09-29,579509.3,606909.3,1186418.6,0.668,51.15,-0.334,"002230,600519,688981"
2025-09-30,579509.3,621239.3,1200748.6,1.2078,51.74,0.0,"002230,600519,688981"
2025-10-09,599519.06,614026.3,1213545.36,1.0657,50.6,0.0,"002230,600519,688981"
2025-10-10,591859.28,587596.3,1179455.58,-2.8091,49.82,-2.8091,"002230,600519,688981"
2025-10-13,354737.94,844032.7,1198770.64,1.6376,70.41,-1.2175,"002230,300750,600519,688981"
2025-10-14,368415.11,797072.7,1165487.81,-2.7764,68.39,-3.9601,"002230,300750,600519,688981"
2025-10-15,355685.62,828712.7,1184398.32,1.6225,69.97,-2.4018,"002230,300750,600519,688981"
2025-10-16,499293.61,677049.4,1176343.01,-0.6801,57.56,-3.0656,"002230,300750,688981"
